date,news_count,category_BIS,category_FOMC,category_UCSB,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_weekend,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_n_chunks
2019-03-21,1,1.0,0.0,0.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.0,0.0843668952584266,0.7034756541252136,0.2121573984622955,-0.619108758866787,0.0305833383593771,0.1685886608250122,0.8008279920459198,-0.1380053224656351,7.0
2019-05-22,1,1.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.0,0.0365901254117488,0.5481413006782532,0.4152685105800628,-0.5115511752665043,0.0428753459929033,0.2847448730238454,0.6723797580464826,-0.241869527030942,4.0
2019-06-11,1,1.0,0.0,0.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0.0,0.0297060962766408,0.731342613697052,0.2389512956142425,-0.7016365174204111,0.0396817047394386,0.4277247285310952,0.5325935482443307,-0.3880430237916565,12.0
2019-06-14,1,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0.0,0.0246257297694683,0.7688292264938354,0.2065449655055999,-0.7442034967243671,0.0452443221897454,0.3930765913373788,0.5616790949913881,-0.3478322691476334,12.0
2019-06-27,1,1.0,0.0,0.0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.0,0.0294815637171268,0.7632328271865845,0.207285538315773,-0.7337512634694576,0.0311525341327722,0.3249486274822171,0.6438988376659646,-0.2937960933494449,6.0
2019-07-02,1,1.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.0,0.0289137009531259,0.6183929443359375,0.3526933789253235,-0.5894792433828115,0.0857859678576934,0.3417656242499015,0.5724484058078667,-0.255979656392208,11.0
2019-07-16,1,1.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.0,0.0326109454035759,0.7774543166160583,0.1899346858263015,-0.7448433712124825,0.0689106905047874,0.1019826409028282,0.8291066517789437,-0.0330719503980408,11.0
2019-07-19,1,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0.0,0.0266495402902364,0.8580107688903809,0.1153397560119628,-0.8313612286001444,0.0501828523939003,0.4063072982674665,0.5435098154048053,-0.3561244458735661,8.0
2019-08-09,1,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.0,0.0386285781860351,0.6144184470176697,0.3469530344009399,-0.5757898688316345,0.0409721765492863,0.2124319475798673,0.7465958733032099,-0.1714597710305809,4.0
2019-08-20,1,1.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.0,0.0461228266358375,0.6930400729179382,0.2608371675014496,-0.6469172462821007,0.0298139345997338,0.460787147747187,0.5093989460343668,-0.4309732131474532,5.0
